geo_longitude,geo_latitude,Unique ID,Name,City,Neighborhood,Multi-System,System,Multi-Line,Lines,Service,Limited Service,Service Frequency,Terminus,Connections,Handicap Accessible,Status,Year Opened
-73.977174,40.752799,1701,Grand Central Terminal,"Manhattan (New York City), NY",Midtown Manhattan,FALSE,Metro-North Railroad,FALSE,"Harlem Line (Metro-North Railroad), Hudon Line (Metro-North Railroad), New Haven Line (Metro-North Railroad)","Danbury Branch (New Haven Line), New Canaan Branch (New Haven Line), Main Branch (New Haven Line)","Harlem Line - False, Hudson Line - False, Danbury Branch (New Haven Line) - False, New Canaan Branch (New Haven Line) - False, Main Branch (New Haven Line) - False","Harlem Line - Constant (>70), Hudson Line - Constant (>70), Danbury Branch (New Haven Line) - Light (<15), New Canaan Branch (New Haven Line) - Medium (<35), Main Branch (New Haven Line) - Constant (>70)",TRUE,Grand Central - 42nd Street (New York City Subway),TRUE,Built,1913
-73.939081,40.805038,1702,Harlem - 125th Street,"Manhattan (New York City), NY",East Harlem,FALSE,Metro-North Railroad,TRUE,"Harlem Line (Metro-North Railroad), Hudon Line (Metro-North Railroad), New Haven Line (Metro-North Railroad)","Danbury Branch (New Haven Line), New Canaan Branch (New Haven Line), Main Branch (New Haven Line)","Harlem Line - False, Hudson Line - False, Danbury Branch (New Haven Line) - False, New Canaan Branch (New Haven Line) - False, Main Branch (New Haven Line) - False","Harlem Line - Constant (>70), Hudson Line - Constant (>70), Danbury Branch (New Haven Line) - Light (<15), New Canaan Branch (New Haven Line) - Medium (<35), Main Branch (New Haven Line) - Constant (>70)",FALSE,125th Street (New York City Subway),TRUE,Built,1874
-73.890449,40.861581,1703,Fordham,"The Bronx (New York City), NY",Fordham,FALSE,Metro-North Railroad,TRUE,"Harlem Line (Metro-North Railroad), New Haven Line (Metro-North Railroad)",Main Branch (New Haven Line),"Harlem Line - False, Main Branch (New Haven Line) - False","Harlem Line - Heavy (<70), Main Branch (New Haven Line) - Heavy (<70)",FALSE,None,FALSE,Built,1841
-73.831909,40.912034,1704,Mount Vernon East,"Mount Vernon, NY",Vernon Park,FALSE,Metro-North Railroad,FALSE,New Haven Line (Metro-North Railroad),Main Branch (New Haven Line),Main Branch (New Haven Line) - False,Heavy (<70),FALSE,None,TRUE,Built,
-73.808887,40.909993,1705,Pelham,"Pelham, NY",,FALSE,Metro-North Railroad,FALSE,New Haven Line (Metro-North Railroad),Main Branch (New Haven Line),Main Branch (New Haven Line) - False,Heavy (<70),FALSE,None,FALSE,Built,1893
-73.783914,40.911384,1706,New Rochelle,"New Rochelle, NY",,FALSE,Metro-North Railroad,FALSE,New Haven Line (Metro-North Railroad),"Main Branch (New Haven Line), New Canaan Branch (New Haven Line)","Main Branch (New Haven Line) - False, New Canaan Branch (New Haven Line) - True","Main Branch (New Haven Line) - Heavy (<70), New Canaan Branch (New Haven Line) - Minimal (<5)",TRUE,None,TRUE,Built,1887
-73.758748,40.934168,1707,Larchmont,"Larchmont, NY",,FALSE,Metro-North Railroad,FALSE,New Haven Line (Metro-North Railroad),Main Branch (New Haven Line),Main Branch (New Haven Line) - False,Heavy (<70),FALSE,None,TRUE,Built,
-73.736342,40.9538,1708,Mamaroneck,"Mamaroneck, NY",,FALSE,Metro-North Railroad,FALSE,New Haven Line (Metro-North Railroad),Main Branch (New Haven Line),Main Branch (New Haven Line) - False,Heavy (<70),FALSE,None,FALSE,Built,1888
-73.711866,40.969643,1709,Harrison,"Harrison, NY",,FALSE,Metro-North Railroad,FALSE,New Haven Line (Metro-North Railroad),Main Branch (New Haven Line),Main Branch (New Haven Line) - False,Heavy (<70),TRUE,None,TRUE,Built,1840s
-73.682276,40.986083,1710,Rye,"Rye, NY",,FALSE,Metro-North Railroad,FALSE,New Haven Line (Metro-North Railroad),"Main Branch (New Haven Line), New Canaan Branch (New Haven Line)","Main Branch (New Haven Line) - False, New Canaan Branch (New Haven Line) - True","Main Branch (New Haven Line) - Heavy (<70), New Canaan Branch (New Haven Line) - Minimal (<5) (Peak Hours Only)",FALSE,None,TRUE,Built,1840s
-73.663593,41.001915,1711,Port Chester,"Port Chester, NY",,FALSE,Metro-North Railroad,FALSE,New Haven Line (Metro-North Railroad),"Main Branch (New Haven Line), New Canaan Branch (New Haven Line)","Main Branch (New Haven Line) - False, New Canaan Branch (New Haven Line) - True","Main Branch (New Haven Line) - Heavy (<70), New Canaan Branch (New Haven Line) - Minimal (<5) (Peak Hours Only)",FALSE,None,FALSE,Built,1890
-73.915737,40.825332,1712,Melrose,"The Bronx (New York City), NY",Melrose,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Medium (<35),FALSE,None,FALSE,Built,1890
-73.89974,40.84689,1713,Tremont,"The Bronx (New York City), NY",Tremont,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Medium (<35),FALSE,None,FALSE,Built,1890
-73.881775,40.867254,1714,Botanical Garden,"The Bronx (New York City), NY",Bedford Park,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),FALSE,None,TRUE,Built,1893
-73.870934,40.878588,1715,Williams Bridge,"The Bronx (New York City), NY",Williamsbridge,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),FALSE,None,FALSE,Built,1842
-73.862445,40.895786,1716,Woodlawn,"The Bronx (New York City), NY",Woodlawn,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),FALSE,None,FALSE,Built,1848
-73.855482,40.906205,1717,Wakefield,"The Bronx (New York City), NY",Wakefield,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),FALSE,None,FALSE,Built,
-73.85066,40.912619,1718,Mount Vernon West,"Mount Vernon, NY",West Mount Vernon,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),TRUE,None,TRUE,Built,1914
-73.841035,40.925197,1719,Fleetwood,"Mount Vernon, NY",Fleetwood,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),FALSE,None,TRUE,Built,1924
-73.834971,40.941283,1720,Bronxville,"Eastchester, NY",Bronxville,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),FALSE,None,TRUE,Built,1916
-73.828974,40.95017,1721,Tuckahoe,"Eastchester, NY",Tuckahoe,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),FALSE,None,TRUE,Built,1844
-73.82114,40.958824,1722,Crestwood,"Eastchester, NY",Tuckahoe,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),TRUE,None,TRUE,Built,1901
-73.808264,40.990575,1723,Scarsdale,"Scarsdale, NY",,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),FALSE,None,TRUE,Built,1846
-73.795824,41.010799,1724,Hartsdale,"Greenburgh, NY",Hartsdale,FALSE,Metro-North Railroad,FALSE,Harlem Line (Metro-North Railroad),,FALSE,Heavy (<70),TRUE,None,TRUE,Built,1915
