geo_longitude,geo_latitude,Unique_ID,Name,City,Neighborhood,Multi_System,System,System_Code,Multi_Line,Lines,Service,Limited_Service,Service_Frequency,Terminus,Connections,Handicap_Accessible,Status,Year_Opened,Web_Link,Name_Link_HTML
-75.452288,39.797671,3901,Claymont,"Claymont, DE",,FALSE,SEPTA Regional Rail,MA13,FALSE,Wilmington / Newark Line (SEPTA Regional Rail),,FALSE,Moderate (<35),FALSE,None,TRUE,Built,1991,https://en.wikipedia.org/wiki/Claymont_station,"<a href=""https://en.wikipedia.org/wiki/Claymont_station"" target=""_blank"">Claymont</a>"
-75.551139,39.73678,3902,Wilmington,"Wilmington, DE",,TRUE,"SEPTA Regional Rail, Amtrak","MA13, SA01",TRUE,"Wilmington / Newark Line (SEPTA Regional Rail), Vermonter (Amtrak), Acela Express (Amtrak), Northeast Regional (Amtrak), Cardinal (Amtrak), Crescent (Amtrak), Carolinian (Amtrak), Palmetto (Amtrak), Silver Star (Amtrak), Silver Meteor (Amtrak)",,"Wilmington / Newark Line - False, Vermonter - True, Acela Express - False, Northeast Regional - False, Cardinal - True, Crescent - True, Carolinian - True, Palmetto - True, Silver Star - True, Silver Meteor - True","Wilmington / Newark Line - Moderate (<35), Vermonter - Minimal (<5), Acela Express - Light (<15), Northeast Regional - Light (<15), Cardinal - Minimal (<5), Crescent - Minimal (<5), Carolinian - Minimal (<5), Palmetto - Minimal (<5), Silver Star - Minimal (<5), Silver Meteor - Minimal (<5)",TRUE,None,TRUE,Built,1908,https://en.wikipedia.org/wiki/Wilmington_station_(Delaware),"<a href=""https://en.wikipedia.org/wiki/Wilmington_station_(Delaware)"" target=""_blank"">Wilmington</a>"
-75.672807,39.694565,3903,Churchmans Crossing,"Newark, DE",,FALSE,SEPTA Regional Rail,MA13,FALSE,Wilmington / Newark Line (SEPTA Regional Rail),,FALSE,Light (<15),FALSE,None,TRUE,Built,2000,https://en.wikipedia.org/wiki/Churchmans_Crossing_station,"<a href=""https://en.wikipedia.org/wiki/Churchmans_Crossing_station"" target=""_blank"">Churchmans Crossing</a>"
-75.753713,39.669725,3904,Newark,"Newark, DE",,TRUE,"SEPTA Regional Rail, Amtrak","MA13, SA01",TRUE,"Wilmington / Newark Line (SEPTA Regional Rail), Northeast Regional (Amtrak)",,"Wilmington / Newark Line - False, Northeast Regional - True","Wilmington / Newark Line - Light (<15), Northeast Regional - Minimal (<5)",TRUE,None,TRUE,Built,1877,https://en.wikipedia.org/wiki/Newark_station_(Delaware),"<a href=""https://en.wikipedia.org/wiki/Newark_station_(Delaware)"" target=""_blank"">Newark</a>"
-76.779847,39.407369,3911,Owings Mills,"Owings Mills, MD",,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),TRUE,None,TRUE,Built,1987,https://en.wikipedia.org/wiki/Owings_Mills_station,"<a href=""https://en.wikipedia.org/wiki/Owings_Mills_station"" target=""_blank"">Owings Mills</a>"
-76.744121,39.371278,3912,Old Court,"Lochearn, MD",,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1987,https://en.wikipedia.org/wiki/Old_Court_station,"<a href=""https://en.wikipedia.org/wiki/Old_Court_station"" target=""_blank"">Old Court</a>"
-76.720591,39.359653,3913,Millford Mill,"Lochearn, MD",,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1987,https://en.wikipedia.org/wiki/Milford_Mill_station,"<a href=""https://en.wikipedia.org/wiki/Milford_Mill_station"" target=""_blank"">Millford Mill</a>"
-76.704637,39.351896,3914,Reisterstown Plaza,"Baltimore, MD",,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/Reisterstown_Plaza_station,"<a href=""https://en.wikipedia.org/wiki/Reisterstown_Plaza_station"" target=""_blank"">Reisterstown Plaza</a>"
-76.691508,39.344621,3915,Rogers Avenue,"Baltimore, MD",Arlington,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/Rogers_Avenue_station,"<a href=""https://en.wikipedia.org/wiki/Rogers_Avenue_station"" target=""_blank"">Rogers Avenue</a>"
-76.672342,39.336248,3916,West Cold Spring,"Baltimore, MD",Arlington,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/West_Cold_Spring_station,"<a href=""https://en.wikipedia.org/wiki/West_Cold_Spring_station"" target=""_blank"">West Cold Spring</a>"
-76.652569,39.317806,3917,Mondawmin,"Baltimore, MD",Mondawmin,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/Mondawmin_station,"<a href=""https://en.wikipedia.org/wiki/Mondawmin_station"" target=""_blank"">Mondawmin</a>"
-76.642513,39.310105,3918,Penn-North,"Baltimore, MD",,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/Penn–North_station,"<a href=""https://en.wikipedia.org/wiki/Penn–North_station"" target=""_blank"">Penn-North</a>"
-76.635635,39.304336,3919,Upton,"Baltimore, MD",,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/Upton–Avenue_Market_station,"<a href=""https://en.wikipedia.org/wiki/Upton–Avenue_Market_station"" target=""_blank"">Upton</a>"
-76.624098,39.302176,3920,State Center / Cultural Center,"Baltimore, MD",Downtown Baltimore,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/State_Center_/_Cultural_Center_station,"<a href=""https://en.wikipedia.org/wiki/State_Center_/_Cultural_Center_station"" target=""_blank"">State Center / Cultural Center</a>"
-76.621187,39.292703,3921,Lexington Market,"Baltimore, MD",Downtown Baltimore,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/Lexington_Market_station_(Metro_SubwayLink),"<a href=""https://en.wikipedia.org/wiki/Lexington_Market_station_(Metro_SubwayLink)"" target=""_blank"">Lexington Market</a>"
-76.613876,39.289508,3922,Charles Center,"Baltimore, MD",Downtown Baltimore,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1983,https://en.wikipedia.org/wiki/Charles_Center_station,"<a href=""https://en.wikipedia.org/wiki/Charles_Center_station"" target=""_blank"">Charles Center</a>"
-76.606387,39.289796,3923,Shot Tower,"Baltimore, MD",Downtown Baltimore,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),FALSE,None,TRUE,Built,1995,https://en.wikipedia.org/wiki/Shot_Tower_station,"<a href=""https://en.wikipedia.org/wiki/Shot_Tower_station"" target=""_blank"">Shot Tower</a>"
-76.594584,39.298384,3924,Johns Hopkins Hospital,"Baltimore, MD",Downtown Baltimore,FALSE,Baltimore Metro SubwayLink,SA02,FALSE,Main Line (Metro SubwayLink),,FALSE,Constant (>70),TRUE,None,TRUE,Built,1995,https://en.wikipedia.org/wiki/Johns_Hopkins_Hospital_station,"<a href=""https://en.wikipedia.org/wiki/Johns_Hopkins_Hospital_station"" target=""_blank"">Johns Hopkins Hospital</a>"
-76.654161,39.496259,3941,Hunt Valley,"Hunt Valley, MD",,FALSE,Baltimore Light RailLink,SA03,FALSE,Main Line (Light RailLink),"Glen Burnie Branch, BWI Airport Branch",FALSE,Constant (>70),TRUE,None,TRUE,Built,1997,https://en.wikipedia.org/wiki/Hunt_Valley_station,"<a href=""https://en.wikipedia.org/wiki/Hunt_Valley_station"" target=""_blank"">Hunt Valley</a>"
-76.656152,39.492108,3942,Pepper Road,"Hunt Valley, MD",,FALSE,Baltimore Light RailLink,SA03,FALSE,Main Line (Light RailLink),"Glen Burnie Branch, BWI Airport Branch",FALSE,Constant (>70),FALSE,None,TRUE,Built,1997,https://en.wikipedia.org/wiki/Pepper_Road_station,"<a href=""https://en.wikipedia.org/wiki/Pepper_Road_station"" target=""_blank"">Pepper Road</a>"
-76.658964,39.489532,3943,McCormick Road,"Hunt Valley, MD",,FALSE,Baltimore Light RailLink,SA03,FALSE,Main Line (Light RailLink),"Glen Burnie Branch, BWI Airport Branch",FALSE,Constant (>70),FALSE,None,TRUE,Built,1997,https://en.wikipedia.org/wiki/McCormick_Road_station,"<a href=""https://en.wikipedia.org/wiki/McCormick_Road_station"" target=""_blank"">McCormick Road</a>"
-76.661756,39.482058,3944,Gilroy Road,"Hunt Valley, MD",,FALSE,Baltimore Light RailLink,SA03,FALSE,Main Line (Light RailLink),"Glen Burnie Branch, BWI Airport Branch",FALSE,Constant (>70),FALSE,None,TRUE,Built,1997,https://en.wikipedia.org/wiki/Gilroy_Road_station,"<a href=""https://en.wikipedia.org/wiki/Gilroy_Road_station"" target=""_blank"">Gilroy Road</a>"
-76.653659,39.475862,3945,Warren Road,"Cockeysville, MD",,FALSE,Baltimore Light RailLink,SA03,FALSE,Main Line (Light RailLink),"Glen Burnie Branch, BWI Airport Branch",FALSE,Constant (>70),FALSE,None,TRUE,Built,1997,https://en.wikipedia.org/wiki/Warren_Road_station,"<a href=""https://en.wikipedia.org/wiki/Warren_Road_station"" target=""_blank"">Warren Road</a>"
-76.63492,39.448525,3946,Fairgrounds,"Timonium, MD",,FALSE,Baltimore Light RailLink,SA03,FALSE,Main Line (Light RailLink),"Glen Burnie Branch, BWI Airport Branch",FALSE,Constant (>70),TRUE,None,TRUE,Built,1992,https://en.wikipedia.org/wiki/Timonium_Fairgrounds_station,"<a href=""https://en.wikipedia.org/wiki/Timonium_Fairgrounds_station"" target=""_blank"">Fairgrounds</a>"
-76.628137,39.433784,3947,Timonium,"Timonium, MD",,FALSE,Baltimore Light RailLink,SA03,FALSE,Main Line (Light RailLink),"Glen Burnie Branch, BWI Airport Branch",FALSE,Constant (>70),FALSE,None,TRUE,Built,1992,https://en.wikipedia.org/wiki/Timonium_Business_Park_station,"<a href=""https://en.wikipedia.org/wiki/Timonium_Business_Park_station"" target=""_blank"">Timonium</a>"
