geo_longitude,geo_latitude,Unique_ID,Name,City,Neighborhood,Multi_System,System,System_Code,Multi_Line,Lines,Service,Limited_Service,Service_Frequency,Terminus,Connections,Handicap_Accessible,Status,Year_Opened,Web_Link,Name_Link_HTML
-72.925772,41.29732,1001,New Haven,"New Haven, CT",,TRUE,"Amtrak, Metro-North Railroad, CTrail","NE01, NE05, MA03",TRUE,"Acela Express (Amtrak), Northeast Regional (Amtrak), Vermonter (Amtrak), Valley Flyer (Amtrak), New Haven Line (Metro-North Railroad), Shore Line East (CTrail)",Main Line (New Haven Line),"Acela Express - False, Northeast Regional - False, Valley Flyer - True, New Haven Line - False, ","Acela Express - Light (<15), Northeast Regional - Light (<15), Valley Flyer - Light (<5) New Haven Line - Heavy (<70),  Shore Line East - Moderate (<35)",TRUE,None,TRUE,Built,1920,https://en.wikipedia.org/wiki/Union_Station_(New_Haven),"<a href=""https://en.wikipedia.org/wiki/Union_Station_(New_Haven)"" target=""_blank"">New Haven</a>"
-72.921525,41.304974,1002,New Haven State Street,"New Haven, CT",,TRUE,"Metro-North Railroad, CTrail","NE05, MA03",FALSE,"Valley Flyer (Amtrak), New Haven Line (Metro-North Railroad), Hartford Line (CTrail), Shore Line East (CTrail)",Main Line (New Haven Line),"Valley Flyer - True, New Haven Line - True, Hartford Line - False, Shore Line East - False","Valley Flyer - Minimal (<5), New Haven Line - Light (<15), Hartford Line - Light (<15), Shore Line East - Moderate (<35)",TRUE,None,TRUE,Built,2002,https://en.wikipedia.org/wiki/New_Haven_State_Street_station,"<a href=""https://en.wikipedia.org/wiki/New_Haven_State_Street_station"" target=""_blank"">New Haven State Street</a>"
-72.963234,41.270813,1003,West Haven,"West Haven, CT",,TRUE,"Metro-North Railroad, CTrail","NE05, MA03",FALSE,"New Haven Line (Metro-North Railroad), Shore Line East (CTrail)",Main Line (New Haven Line),"New Haven Line - False, Shore Line East - True","New Haven Line - Heavy (<70), Shore Line East - Minimal (<5) (Peak Hours Only)",FALSE,None,TRUE,Built,2013,https://en.wikipedia.org/wiki/West_Haven_station,"<a href=""https://en.wikipedia.org/wiki/West_Haven_station"" target=""_blank"">West Haven</a>"
-73.059411,41.222402,1004,Milford,"Milford, CT",,TRUE,"Metro-North Railroad, CTrail","NE05, MA03",FALSE,"New Haven Line (Metro-North Railroad), Shore Line East (CTrail)",Main Line (New Haven Line),"New Haven Line - False, Shore Line East - True","New Haven Line - Heavy (<70), Shore Line East - Minimal (<5) (Peak Hours Only)",FALSE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Milford_station_(Connecticut),"<a href=""https://en.wikipedia.org/wiki/Milford_station_(Connecticut)"" target=""_blank"">Milford</a>"
-73.13093,41.194464,1005,Stratford,"Stratford, CT",,TRUE,"Metro-North Railroad, CTrail","NE05, MA03",FALSE,"New Haven Line (Metro-North Railroad), Shore Line East (CTrail)","Main Line (New Haven Line), Waterbury Branch (New Haven Line)","New Haven Line - False, Shore Line East - True","New Haven Line - Heavy (<70, Shore Line East - Minimal (<5) (Peak Hours Only)",TRUE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Stratford_station_(Connecticut),"<a href=""https://en.wikipedia.org/wiki/Stratford_station_(Connecticut)"" target=""_blank"">Stratford</a>"
-73.186545,41.177908,1006,Bridgeport,"Bridgeport, CT",,TRUE,"Amtrak, Metro-North Railroad, CTrail","NE01, NE05, MA03",TRUE,"Northeast Regional (Amtrak), Vermonter (Amtrak), New Haven Line (Metro-North Railroad), Shore Line East (CTrail)","Main Line (New Haven Line), Waterbury Branch (New Haven Line)","Northeast Regional - False, New Haven Line - False, Shore Line East - True","Northeast Regional - Light (<15), New Haven Line - Heavy (<70), Shore Line East - Minimal (<5) (Peak Hours Only)",TRUE,None,TRUE,Built,1975,https://en.wikipedia.org/wiki/Bridgeport_station_(Connecticut),"<a href=""https://en.wikipedia.org/wiki/Bridgeport_station_(Connecticut)"" target=""_blank"">Bridgeport</a>"
-73.235302,41.160085,1007,Fairfield Metro,"Fairfield, CT",,FALSE,Metro-North Railroad,MA03,FALSE,New Haven Line (Metro-North Railroad),Main Line,FALSE,Heavy (<70),FALSE,None,TRUE,Built,2011,https://en.wikipedia.org/wiki/Fairfield_Metro_station,"<a href=""https://en.wikipedia.org/wiki/Fairfield_Metro_station"" target=""_blank"">Fairfield Metro</a>"
-73.258294,41.142669,1008,Farifield,"Fairfield, CT",,FALSE,Metro-North Railroad,MA03,FALSE,New Haven Line (Metro-North Railroad),Main Line,FALSE,Heavy (<70),FALSE,None,FALSE,Built,1882,https://en.wikipedia.org/wiki/Fairfield_station_(Metro-North),"<a href=""https://en.wikipedia.org/wiki/Fairfield_station_(Metro-North)"" target=""_blank"">Farifield</a>"
-73.287687,41.135327,1009,Southport,"Southport, CT",,FALSE,Metro-North Railroad,MA03,FALSE,New Haven Line (Metro-North Railroad),Main Line,FALSE,Moderate (<35),FALSE,None,FALSE,Built,1884,https://en.wikipedia.org/wiki/Southport_station_(Metro-North),"<a href=""https://en.wikipedia.org/wiki/Southport_station_(Metro-North)"" target=""_blank"">Southport</a>"
-73.314793,41.122275,1010,Green's Farms,"Westport, CT",,FALSE,Metro-North Railroad,MA03,FALSE,New Haven Line (Metro-North Railroad),Main Line,FALSE,Moderate (<35),FALSE,None,FALSE,Built,,https://en.wikipedia.org/wiki/Green%27s_Farms_station,"<a href=""https://en.wikipedia.org/wiki/Green%27s_Farms_station"" target=""_blank"">Green's Farms</a>"
